country,Continente,Desarrollo,Estabilidad
Ireland,Europe,Desarrollado,Estable
Albania,Europe,En Desarrollo,Desconocido
Central African Rep.,Africa,En Desarrollo,Inestable
Barbados,North America,Desconocido,Desconocido
Italy,Europe,Desarrollado,Estable
Switzerland,Europe,Desarrollado,Estable
Mauritania,Africa,En Desarrollo,Desconocido
Oman,Asia,En Desarrollo,Desconocido
Tanzania,Africa,En Desarrollo,Desconocido
Thailand,Asia,En Desarrollo,Medianamente Estable
Haiti,North America,En Desarrollo,Inestable
Equatorial Guinea,Africa,En Desarrollo,Desconocido
Guatemala,North America,En Desarrollo,Desconocido
Iraq,Asia,En Desarrollo,Inestable
Mali,Africa,En Desarrollo,Inestable
Bolivia,South America,En Desarrollo,Desconocido
Kenya,Africa,En Desarrollo,Desconocido
Panama,North America,En Desarrollo,Desconocido
"Macedonia, FYR",Desconocido,Desconocido,Desconocido
Austria,Europe,Desarrollado,Estable
Fiji,Oceania,En Desarrollo,Desconocido
Cuba,North America,En Desarrollo,Desconocido
Azerbaijan,Asia,En Desarrollo,Desconocido
"Korea, Rep.",Desconocido,Desconocido,Desconocido
Nicaragua,North America,En Desarrollo,Desconocido
Lithuania,Europe,En Desarrollo,Desconocido
Saudi Arabia,Asia,En Desarrollo,Desconocido
Belarus,Europe,En Desarrollo,Desconocido
Lesotho,Africa,En Desarrollo,Desconocido
Cape Verde,Desconocido,Desconocido,Desconocido
Eritrea,Africa,En Desarrollo,Desconocido
Uganda,Africa,En Desarrollo,Desconocido
Switzerland,Europe,Desarrollado,Estable
South Africa,Africa,En Desarrollo,Medianamente Estable
Gabon,Africa,En Desarrollo,Desconocido
Georgia,Asia,En Desarrollo,Desconocido
Estonia,Europe,En Desarrollo,Desconocido
Argentina,South America,En Desarrollo,Medianamente Estable
Cambodia,Asia,En Desarrollo,Desconocido
Oman,Asia,En Desarrollo,Desconocido
Suriname,South America,En Desarrollo,Desconocido
Gambia,Africa,En Desarrollo,Desconocido
Japan,Asia,Desarrollado,Estable
Mozambique,Africa,En Desarrollo,Desconocido
